Experiment,Configuration,Accuracy,Macro-F1
1. Baseline,LogisticRegression,0.3668,0.2965
1. Baseline,RandomForest,0.4716,0.3579
1. Baseline,XGBoost,0.4478,0.3753
2. Ablation,RandomForest (doc_only),0.2741,0.2164
2. Ablation,XGBoost (doc_only),0.2661,0.2121
2. Ablation,RandomForest (lexical),0.3898,0.2923
2. Ablation,XGBoost (lexical),0.4024,0.3307
2. Ablation,RandomForest (syntactic),0.4109,0.3063
2. Ablation,XGBoost (syntactic),0.4053,0.3223
2. Ablation,RandomForest (all),0.4716,0.3579
2. Ablation,XGBoost (all),0.4478,0.3753
3. Train Size,RandomForest @ 10%,0.469,0.3512
3. Train Size,XGBoost @ 10%,0.4592,0.3806
3. Train Size,RandomForest @ 30%,0.4696,0.351
3. Train Size,XGBoost @ 30%,0.4517,0.3778
3. Train Size,RandomForest @ 100%,0.4715,0.3583
3. Train Size,XGBoost @ 100%,0.4477,0.3758
4. Comment FX,RandomForest With doc features,0.4716,0.3579
4. Comment FX,XGBoost With doc features,0.4478,0.3753
4. Comment FX,RandomForest Without doc features,0.3898,0.2923
4. Comment FX,XGBoost Without doc features,0.4024,0.3307
5. Imbalance,Raw (no correction),0.4783,0.3639
5. Imbalance,Class weights,0.4716,0.3579
5. Imbalance,Over-Sampling,0.4596,0.3605
5. Imbalance,SMOTE,0.469,0.3718
